,SECTORID,SECTORNAME,STARTIC,ENDIC,LENGTH,LANENO,INTDIR,GROUPID,LANELENGTH,MODEL,CMSDESC,STATUS,TRAVELTIME,CAPACITY,START_X,START_Y,END_X,END_Y
0,L00204,西門路一段(樹林街二段>南寧街),I0309,I0020,125,2,0,0,7,十字型,0,y,10,10,120.197562,22.986379,120.197599,22.985132999999998
1,L00206,南寧路(永褔路一段>西門路一段),I0299,I0020,245,2,0,0,7,十字型,0,y,10,10,120.20014499999999,22.985101999999998,120.197599,22.985132999999998
2,L00210,海佃路一段(國安街>海佃路一段158巷),I0177,I0021,130,2,0,0,7,十字型,0,y,10,10,120.191947,23.022889000000003,120.191722,23.024029000000002
3,L00214,海佃路一段(海佃路一段213巷>海佃路一段158巷),I0172,I0021,25,2,0,0,7,十字型,0,y,10,10,120.19161399999999,23.024454000000002,120.191722,23.024029000000002
4,L00224,新樂路(新信路>新義路),I0146,I0022,290,2,0,0,7,十字型,0,y,10,10,120.177121,22.973133999999998,0.0,0.0
5,L00226,新義路(中華西路一段>新樂路),I0085,I0022,705,2,0,0,7,十字型,0,y,10,10,120.18381699999999,22.970276000000002,0.0,0.0
6,L00227,新樂路(新和路>新義路),I0719,I0022,455,2,0,0,7,十字型,0,y,10,10,120.175299,22.967316,0.0,0.0
7,L00230,安和路一段(文安街>郡安路),I0208,I0023,140,2,0,0,7,十字型,0,y,10,10,120.21486200000001,23.027656,120.214076,23.029025
8,L00233,安和路一段(安和路一段159巷>郡安路),I0190,I0023,120,2,0,0,7,十字型,0,y,10,10,120.21343999999999,23.030108,120.214076,23.029025
9,L00240,永福路一段(樹林街二段>和意路),I0313,I0024,200,2,0,0,7,十字型,0,y,10,10,120.2002,22.986322,120.20029299999999,22.988348000000002
10,L00244,永福路一段(府前路一段>和意路),I0344,I0024,160,2,0,0,7,十字型,0,y,10,10,120.20038400000001,22.989979,120.20029299999999,22.988348000000002
11,L00250,新樂路新(新愛路>新仁路),I0730,I0025,145,2,0,0,7,十字型,0,y,10,10,120.177489,22.97476,120.177878,22.976343
12,L00254,新樂路(新孝路>新仁路),I0771,I0025,160,2,0,0,7,十字型,0,y,10,10,120.17823600000001,22.978078,120.177878,22.976343
13,L00256,新孝路(中華西路一段>新樂路),I0626,I0025,625,2,0,0,7,十字型,0,y,10,10,120.18441599999998,22.976609,120.177878,22.976343
14,L00273,崇善路(崇善東路>生產路),I0389,I0027,35,2,0,0,7,十字型,0,y,10,10,120.23226499999998,22.96702,120.232676,22.966542999999998
15,L00277,崇善路(崇善15街>生產路),I0099,I0027,400,2,0,0,7,十字型,0,y,10,10,120.234136,22.9648,120.232676,22.966542999999998
16,L00280,海安路三段(民生路二段>民權路),I0068,I0028,165,2,0,0,7,十字型,0,y,10,10,120.196598,22.995331,120.197225,22.996885
17,L00282,民權路二段(康樂街>海安路),I0689,I0028,110,2,0,0,7,十字型,0,y,10,10,120.19596499999999,22.997346,120.197225,22.996885
18,L00284,海安路三段(民族路三段>民權路),I0069,I0028,140,2,0,0,7,十字型,0,y,10,10,120.197778,22.998253,120.197225,22.996885
19,L00286,民權路二段(國華街>海安路),I0420,I0028,120,2,0,0,7,十字型,0,y,10,10,120.198527,22.996445,120.197225,22.996885
20,L00290,海安路(保安路>府前路二段),I0576,I0029,30,2,0,0,7,十字型,0,y,10,10,120.195422,22.990586999999998,120.19553400000001,22.991013
21,L00292,府前路一段(郡西路>海安路),I0652,I0029,45,2,0,0,7,十字型,0,y,10,10,120.19479199999999,22.991153,120.19553400000001,22.991013
22,L00294,海安路(尊王路>府前路二段),I0138,I0029,50,2,0,0,7,十字型,0,y,10,10,120.19566,22.991764,120.19553400000001,22.991013
23,L00296,府前路一段(國華街>海安路),I0159,I0029,110,2,0,0,7,十字型,0,y,10,10,120.19686399999999,22.99074,120.19553400000001,22.991013
24,L00324,安明路四段(安中路五段>北汕尾三路),I0566,I0032,250,2,0,0,7,十字型,0,y,10,10,120.13391399999999,23.061061,120.133826,23.058364
25,L00327,安明路三段(安清路>北汕尾三路),I0033,I0032,720,2,0,0,7,十字型,0,y,10,10,120.13973500000002,23.054201000000003,120.133826,23.058364
26,L00333,安明路三段(北汕尾三路>安清路),I0032,I0033,720,2,0,0,7,十字型,0,y,10,10,120.133826,23.058364,120.13973500000002,23.054201000000003
27,L00337,安明路三段(科技5路>安清路),I0695,I0033,782,2,0,0,7,十字型,0,y,10,10,120.14586100000001,23.049673000000002,120.13973500000002,23.054201000000003
28,L04315,萬年路(萬年一街->明興路),I3390,I0431,112,2,0,0,7,十字型,0,y,10,10,0.0,0.0,120.182309,22.933167
29,L33901,萬年路(明興路->萬年一街),I0431,I3390,112,2,0,0,7,十字型,0,y,10,10,120.182309,22.933167,0.0,0.0
30,L00350,濱南路(濱南路喜樹路340巷>濱南路鯤鯓路101巷),I0036,I0035,505,2,0,0,7,十字型,0,y,10,10,120.176004,22.937896,120.175604,22.942501
31,L00354,濱南路(北海加油站>濱南路鯤鯓路101巷),I0103,I0035,475,2,0,0,7,十字型,0,y,10,10,0.0,0.0,120.175604,22.942501
32,L00364,濱南路(濱南路鯤鯓路101巷>濱南路喜樹路340巷),I0035,I0036,505,2,0,0,7,十字型,0,y,10,10,120.175604,22.942501,120.176004,22.937896
33,L00392,府前路二段(永華一街>府前路二段258巷),I0714,I0039,80,2,0,0,7,十字型,0,y,10,10,120.18971200000001,22.992166,120.19063700000001,22.991975
34,L00396,府前路二段(環河街>府前路二段258巷),I0171,I0039,85,2,0,0,7,十字型,0,y,10,10,120.19182099999999,22.99174,120.19063700000001,22.991975
35,L00400,慶東路(樹林街1段>東門路一段),I0828,I0040,155,2,0,0,7,十字型,0,y,10,10,120.215635,22.985968,120.216195,22.987482
36,L00402,東門路一段(東榮街>慶東路),I0427,I0040,100,2,0,0,7,十字型,0,y,10,10,120.21511399999999,22.987834,120.216195,22.987482
37,L00406,東門路一段(長榮路二段>慶東路),I0512,I0040,280,2,0,0,7,十字型,0,y,10,10,120.218847,22.986616,120.216195,22.987482
38,L31161,台1線(台19甲線->南144鄉道),I3064,I3116,661,2,0,0,7,十字型,0,y,10,10,,,0.0,0.0
39,L00415,明興路(中華南路二段>明興路77巷),I0625,I0041,305,2,0,0,7,十字型,0,y,10,10,120.189272,22.961279,120.168053,23.154477
40,L00430,北門路二段(公園南路>小東路),I0634,I0043,160,2,0,0,7,十字型,0,y,10,10,120.212776,22.999962,120.21312900000001,23.001707
41,L00434,北門路二段(公園北路>小東路),I0007,I0043,225,2,0,0,7,十字型,0,y,10,10,120.21361100000001,23.004,120.21312900000001,23.001707
42,L00436,小東路(前鋒路>北門路二段),I0357,I0043,130,2,0,0,7,十字型,0,y,10,10,120.214661,23.001452,120.21312900000001,23.001707
43,L00442,東寧路(勝利路>東寧路15巷),I0122,I0044,200,2,0,0,7,十字型,0,y,10,10,120.21788000000001,22.992354000000002,120.220021,22.992183999999998
44,L00446,東寧路(長榮路二段>東寧路15巷),I0144,I0044,140,2,0,0,7,十字型,0,y,10,10,120.22164199999999,22.992010999999998,120.220021,22.992183999999998
45,L00460,永福路二段(友愛街>中正路),I0145,I0046,100,2,0,0,7,十字型,0,y,10,10,120.20063400000001,22.99128,120.200883,22.992309
46,L28752,中正路(國華街->西門路二段),I0640,I2875,110,2,0,0,7,十字型,0,y,10,10,120.197424,22.993019,,
47,L00464,永福路二段(民生路一段>中正路),I0065,I0046,150,2,0,0,7,十字型,0,y,10,10,120.201277,22.993855,120.200883,22.992309
48,L00466,中正路(忠義路二段>永褔路二段),I0231,I0046,180,2,0,0,7,十字型,0,y,10,10,120.202804,22.991922,120.200883,22.992309
49,L00470,忠義路二段(民權路二段>民族路二段),I0499,I0047,145,2,0,0,7,十字型,0,y,10,10,120.203543,22.994879,120.204104,22.996311
50,L00472,民族路二段(永福路二段>忠義路二段),I0498,I0047,150,2,0,0,7,十字型,0,y,10,10,120.20250700000001,22.996879,120.204104,22.996311
51,L00474,忠義路二段(成功路>民族路二段),I0347,I0047,230,2,0,0,7,十字型,0,y,10,10,120.204952,22.998459,120.204104,22.996311
52,L00654,永福路二段(民權路二段>民生路一段),I0556,I0065,160,2,0,0,7,十字型,0,y,10,10,120.20181799999999,22.995425,120.201277,22.993855
53,L00656,民生路一段(忠義路二段>永褔路二段),I0630,I0065,175,2,0,0,7,十字型,0,y,10,10,120.20308899999999,22.993363000000002,120.201277,22.993855
54,L00665,北安路(培安路四段>北安路三段396巷),I0334,I0066,345,2,0,0,7,十字型,0,y,10,10,120.211133,23.048379999999998,120.207904,23.046141
55,L00672,東寧路(怡東路>裕豐街),I0288,I0067,20,2,0,0,7,十字型,0,y,10,10,120.227478,22.990223999999998,120.22781499999999,22.990151
56,L00676,東寧路(東興路>裕豐街),I0125,I0067,40,2,0,0,7,十字型,0,y,10,10,120.228532,22.989895,120.22781499999999,22.990151
57,L00680,海安路(正興街>民生路二段),I0889,I0068,70,2,0,0,7,十字型,0,y,10,10,120.19628200000001,22.994560999999997,120.196598,22.995331
58,L00682,民生路二段(康樂街>海安路),I0128,I0068,105,2,0,0,7,十字型,0,y,10,10,120.19533600000001,22.995798,120.196598,22.995331
59,L00684,海安路三段(民權路>民生路二段),I0028,I0068,165,2,0,0,7,十字型,0,y,10,10,120.197225,22.996885,120.196598,22.995331
60,L00686,民生路二段(國華街>海安路),I0418,I0068,120,2,0,0,7,十字型,0,y,10,10,120.19789399999999,22.994939000000002,120.196598,22.995331
61,L00690,海安路三段(民權路>民族路三段),I0028,I0069,140,2,0,0,7,十字型,0,y,10,10,120.197225,22.996885,120.197778,22.998253
62,L00692,民族路三段(康樂街>海安路),I0545,I0069,110,2,0,0,7,十字型,0,y,10,10,120.196528,22.998685000000002,120.197778,22.998253
63,L00694,海安路三段(郡緯街>民族路三段),I0777,I0069,115,2,0,0,7,十字型,0,y,10,10,120.198274,22.999401000000002,120.197778,22.998253
64,L00696,民族路二段(國華街>海安路),I0421,I0069,115,2,0,0,7,十字型,0,y,10,10,120.19908600000001,22.997788,120.197778,22.998253
65,L00702,中華東路三段(大同路二段>中華東路三段399巷),I0624,I0070,410,2,0,0,7,十字型,0,y,10,10,120.214844,22.972468,0.0,0.0
66,L07906,新都路(大成路一段->西門路一段),I0438,I0790,1122,2,0,0,7,十字型,0,y,10,10,0.0,0.0,120.198118,22.967533
67,L00712,公學路(公學路四段122號>十二佃路口[西側]),I0072,I0071,90,2,0,0,7,十字型,0,y,10,10,120.176278,23.068414999999998,120.17772,23.067852
68,L00716,公學路(安吉路>十二佃路口[西側]),I0587,I0071,1395,2,0,0,7,十字型,0,y,10,10,120.19141699999999,23.068257,120.17772,23.067852
69,L00720,公學路四段(十二佃路>公學路四段122號前),I0542,I0072,100,2,0,0,7,十字型,0,y,10,10,120.176469,23.067172,120.176278,23.068414999999998
70,L00722,公學路(十二佃路>公學路四段122號),I0553,I0072,1000,2,0,0,7,十字型,0,y,10,10,120.166177,23.069942,120.176278,23.068414999999998
71,L00726,公學路(十二佃路口[西側]>公學路四段122號),I0071,I0072,90,2,0,0,7,十字型,0,y,10,10,120.17772,23.067852,120.176278,23.068414999999998
72,L00730,文平路(永華路二段>怡平路),I0450,I0073,310,2,0,0,7,十字型,0,y,10,10,120.178377,22.990184,120.178779,22.993257
73,L00734,文平路(建平11街>怡平路),I0805,I0073,180,2,0,0,7,十字型,0,y,10,10,120.17896100000002,22.995004,120.178779,22.993257
